Cidade,Regiao,Entidade,Qualidade_do_Ar,Poluicao_da_Agua
New York City,New York,United States of America,4681603774,495049505
Washington DC,District of Columbia,United States of America,6612903226,4910714286
San Francisco,California,United States of America,6051401869,43
Berlin,Toquio,Germany,6236413043,2861271676
Los Angeles,California,United States of America,3662162162,6129943503
Bern,Canton of Bern,Switzerland,9431818182,125
Geneva,Canton of Geneva,Switzerland,7153846154,1737288136
Zurich,Canton of Zurich,Switzerland,8380952381,1071428571
Basel,Canton of Zurich,Switzerland,8166666667,2692307692
Badadasel,Swidadadadaerland,Canton of Zurich,8166666667,26dadada2307692
